..
Name                                                                                                                              OS       Location                                                                                                                                      
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-626.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-633.1.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-640.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-647.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-653.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-660.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-668.2.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-675.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-681.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-695.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-709.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-717.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
